x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.26100000000000012e+00,1.26100000000000012e+00,6.28882959221342186e-01,-9.97501249113675215e-01,-9.97435304078258755e-01,-2.49599330077367454e-02,-2.49582829008645514e-02,-1.24791414504322740e-02,-3.74390744581690194e-02,-3.74374243512968219e-02
1.26825000000000010e+00,1.26825000000000010e+00,6.21713443026121748e-01,-9.80491352229456936e-01,-9.80427270689724684e-01,-2.42546027472467438e-02,-2.42530175499004290e-02,-1.21265087749502162e-02,-3.63811115221969600e-02,-3.63795263248506417e-02
1.27550000000000008e+00,1.27550000000000008e+00,6.14665834614015139e-01,-9.63866019984237710e-01,-9.63803739104688528e-01,-2.35730558094761795e-02,-2.35715326199259362e-02,-1.17857663099629681e-02,-3.53588221194391511e-02,-3.53572989298889043e-02
1.28275000000000006e+00,1.28275000000000006e+00,6.07737385736350277e-01,-9.47614445467372946e-01,-9.47553904870551911e-01,-2.29143618092991774e-02,-2.29128978709365397e-02,-1.14564489354682716e-02,-3.43708107447674507e-02,-3.43693468064048130e-02
1.29000000000000004e+00,1.29000000000000004e+00,6.00925425154738235e-01,-9.31726184164077154e-01,-9.31667325821299519e-01,-2.22776317255366993e-02,-2.22762244188551214e-02,-1.11381122094275607e-02,-3.34157439349642565e-02,-3.34143366282826787e-02
1.29725000000000001e+00,1.29725000000000001e+00,5.94227356065971213e-01,-9.16191139856245229e-01,-9.16133907983767481e-01,-2.16620158435303460e-02,-2.16606626785908092e-02,-1.08303313392954046e-02,-3.24923471828257523e-02,-3.24909940178862156e-02
1.30449999999999999e+00,1.30449999999999999e+00,5.87640653626822718e-01,-9.00999551146782096e-01,-9.00943892107049060e-01,-2.10667018107984216e-02,-2.10654004201466273e-02,-1.05327002100733119e-02,-3.15994020208717336e-02,-3.15981006302199358e-02
1.31174999999999997e+00,1.31174999999999997e+00,5.81162862574342909e-01,-8.86141978576361566e-01,-8.86087840784208769e-01,-2.04909127989693941e-02,-2.04896609309787661e-02,-1.02448304654893831e-02,-3.07357432644587772e-02,-3.07344913964681492e-02
1.31899999999999995e+00,1.31899999999999995e+00,5.74791594937465566e-01,-8.71609292303773486e-01,-8.71556626137172996e-01,-1.99339057656445703e-02,-1.99327012782540350e-02,-9.96635063912701749e-03,-2.99002564047715878e-02,-2.98990519173810525e-02
1.32624999999999993e+00,1.32624999999999993e+00,5.68524527835938209e-01,-8.57392660322197742e-01,-8.57341418037230185e-01,-1.93949698102443731e-02,-1.93938106650639354e-02,-9.69690533253196769e-03,-2.90918751427763425e-02,-2.90907159975959048e-02
1.33349999999999991e+00,1.33349999999999991e+00,5.62359401362793720e-01,-8.43483537184916088e-01,-8.43433672835086301e-01,-1.88734246182691613e-02,-1.88723088750374773e-02,-9.43615443751873867e-03,-2.83095790557879000e-02,-2.83084633125562160e-02
1.34074999999999989e+00,1.34074999999999989e+00,5.56294016546757031e-01,-8.29873653216495200e-01,-8.29825122575807650e-01,-1.83686189887881553e-02,-1.83675448001515869e-02,-9.18377240007579344e-03,-2.75523913888639504e-02,-2.75513172002273821e-02
1.34800000000000009e+00,1.34800000000000009e+00,5.50326233391154274e-01,-8.16555004185701705e-01,-8.16507764675303060e-01,-1.78799294402766304e-02,-1.78788950468697048e-02,-8.93944752343485242e-03,-2.68193769637114846e-02,-2.68183425703045555e-02
1.35525000000000007e+00,1.35525000000000007e+00,5.44453968986064241e-01,-8.03519841417653424e-01,-8.03473852036250435e-01,-1.74067588902320422e-02,-1.74057626160489670e-02,-8.70288130802448524e-03,-2.61096401982565257e-02,-2.61086439240734505e-02
1.36250000000000004e+00,1.36250000000000004e+00,5.38675195690598296e-01,-7.90760662325190822e-01,-7.90715883582529533e-01,-1.69485354043161646e-02,-1.69475756523437722e-02,-8.47378782617188610e-03,-2.54223232304880489e-02,-2.54213634785156600e-02
1.36975000000000002e+00,1.36975000000000002e+00,5.32987939382349007e-01,-7.78270201338827405e-01,-7.78226595192332948e-01,-1.65047110110010387e-02,-1.65037862591025895e-02,-8.25189312955129303e-03,-2.47566041405523317e-02,-2.47556793886538826e-02
1.37700000000000000e+00,1.37700000000000000e+00,5.27390277771185412e-01,-7.66041421216634433e-01,-7.65998951011162554e-01,-1.60747605779680697e-02,-1.60738693750046950e-02,-8.03693468750234750e-03,-2.41116952654704189e-02,-2.41108040625070408e-02
1.38424999999999998e+00,1.38424999999999998e+00,5.21880338774707853e-01,-7.54067504716608994e-01,-7.54026135126903196e-01,-1.56581807467474111e-02,-1.56573217089172705e-02,-7.82866085445863523e-03,-2.34868416012060446e-02,-2.34859825633759040e-02
1.39149999999999996e+00,1.39149999999999996e+00,5.16456298952794546e-01,-7.42341846614301915e-01,-7.42301543590074830e-01,-1.52544889222876248e-02,-1.52536607296706907e-02,-7.62683036483534620e-03,-2.28813192871229719e-02,-2.28804910945060377e-02
1.39874999999999994e+00,1.39874999999999994e+00,5.11116381998800495e-01,-7.30858046049561949e-01,-7.30818776763253686e-01,-1.48632223143537450e-02,-1.48624237076534702e-02,-7.43121185382673421e-03,-2.22944341681804784e-02,-2.22936355614802052e-02
1.40600000000000014e+00,1.40600000000000014e+00,5.05858857285075736e-01,-7.19609899187666713e-01,-7.19571631984460391e-01,-1.44839370278538049e-02,-1.44831668053178198e-02,-7.24158340265890904e-03,-2.17255204305127139e-02,-2.17247502079767271e-02
1.41325000000000012e+00,1.41325000000000012e+00,5.00682038460579237e-01,-7.08591392179897639e-01,-7.08554096530096156e-01,-1.41162071993506510e-02,-1.41154642138641741e-02,-7.05773210693208704e-03,-2.11739393062827380e-02,-2.11731963207962628e-02
1.42050000000000010e+00,1.42050000000000010e+00,4.95584282098467277e-01,-6.97796694410129703e-01,-6.97760340863734285e-01,-1.37596241771977545e-02,-1.37589073335383956e-02,-6.87945366676919693e-03,-2.06390778439669506e-02,-2.06383610003075917e-02
1.42775000000000007e+00,1.42775000000000007e+00,4.90563986391632401e-01,-6.87220152014553776e-01,-6.87184712157776101e-01,-1.34137957428894020e-02,-1.34131039951305795e-02,-6.70655199756528889e-03,-2.01203477404546908e-02,-2.01196559926958701e-02
1.43500000000000005e+00,1.43500000000000005e+00,4.85619589894256243e-01,-6.76856281661798675e-01,-6.76821728075618467e-01,-1.30783453713503202e-02,-1.30776777204085672e-02,-6.53883886020428188e-03,-1.96171842315546012e-02,-1.96165165806128500e-02
1.44225000000000003e+00,1.44225000000000003e+00,4.80749570307536345e-01,-6.66699764582006082e-01,-6.66666070802615862e-01,-1.27529115280386757e-02,-1.27522670193551037e-02,-6.37613350967755101e-03,-1.91290450377162267e-02,-1.91284005290326548e-02
