x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.30449999999999999e+00,1.30449999999999999e+00,8.75543963862575048e-01,-3.35592513060312569e-01,-3.35586034443302039e-01,-7.84664919486328591e-03,-7.84649771521767070e-03,-1.56929954304353414e-02,-2.35396446252986273e-02,-2.35394931456530121e-02
1.31174999999999997e+00,1.31174999999999997e+00,8.73121059751678641e-01,-3.32814076567316874e-01,-3.32807722413447193e-01,-7.69590470385637156e-03,-7.69575777208245451e-03,-1.53915155441649073e-02,-2.30874202480212780e-02,-2.30872733162473601e-02
1.31899999999999995e+00,1.31899999999999995e+00,8.70718159752348897e-01,-3.30073768666466094e-01,-3.30067535918252053e-01,-7.54886330194763037e-03,-7.54872075755686107e-03,-1.50974415151137221e-02,-2.26463048170613516e-02,-2.26461622726705850e-02
1.32624999999999993e+00,1.32624999999999993e+00,8.68334990106014892e-01,-3.27370860814326647e-01,-3.27364746505566406e-01,-7.40541441054740329e-03,-7.40527609955023321e-03,-1.48105521991004664e-02,-2.22159666096478706e-02,-2.22158282986507014e-02
1.33349999999999991e+00,1.33349999999999991e+00,8.65971282270541209e-01,-3.24704642268415000e-01,-3.24698643521012853e-01,-7.26545133234946135e-03,-7.26531710695926987e-03,-1.45306342139185415e-02,-2.17960855462680028e-02,-2.17959513208778113e-02
1.34074999999999989e+00,1.34074999999999989e+00,8.63626772793122943e-01,-3.22074419558482816e-01,-3.22068533579385807e-01,-7.12887109498523165e-03,-7.12874081333694700e-03,-1.42574816266738923e-02,-2.13863527216591257e-02,-2.13862224400108401e-02
1.34800000000000009e+00,1.34800000000000009e+00,8.61301203186943143e-01,-3.19479515976311745e-01,-3.19473740054504129e-01,-6.99557430177856574e-03,-6.99544782766005173e-03,-1.39908956553201035e-02,-2.09864699570986683e-02,-2.09863434829801535e-02
1.35525000000000007e+00,1.35525000000000007e+00,8.58994319811466345e-01,-3.16919271083065723e-01,-3.16913602586779697e-01,-6.86546498923805426e-03,-6.86534219183712515e-03,-1.37306843836742503e-02,-2.05961493729123063e-02,-2.05960265755113746e-02
1.36250000000000004e+00,1.36250000000000004e+00,8.56705873756238634e-01,-3.14393040233824195e-01,-3.14387476607793981e-01,-6.73845049095561036e-03,-6.73833124461820088e-03,-1.34766624892364018e-02,-2.02151129801920112e-02,-2.02149937338546026e-02
1.36975000000000002e+00,1.36975000000000002e+00,8.54435620728075995e-01,-3.11900194118344132e-01,-3.11894732881210446e-01,-6.61444130758546359e-03,-6.61432549158672781e-03,-1.32286509831734556e-02,-1.98430922907589201e-02,-1.98429764747601843e-02
1.37700000000000000e+00,1.37700000000000000e+00,8.52183320941522715e-01,-3.09440118317596102e-01,-3.09434757059376453e-01,-6.49335098260539912e-03,-6.49323848093135043e-03,-1.29864769618627009e-02,-1.94798279444680991e-02,-1.94797154427940530e-02
